chapter_id,volume,chapter,source_file,line_start,line_end,source_heading,linked_scene_ids,status,boundary_status,remaining_review,notes
Adi001,1,1,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,3716,6501,,G01-S01 | G01-S02 | G01-S03 | G01-S04 | G01-S05 | G01-S06 | G01-S07 | G01-S08,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi002,1,2,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,6502,8942,"(ಭಾರತಯುದ್ಧ ಸ್ಥಳದ ಕಥನ ಸಂದರ್ಭದಲ್ಲಿ ಪರಶುರಾಮನ ಚರಿತ್ರೆ. ಸಮಂತಪಂಚಕ ನಿರ್ಮಾಣ. ಸೇನಾಪರಿಮಾಣ, ಪರ್ವಾನುಕ್ರಮಣಿಕೆ ಮತ್ತು ಉಪಪರ್ವಗಳ ವಿಷಯಾನುಕ್ರಮಣಿಕೆ)",G02-S01 | G02-S02 | G02-S03 | G02-S04 | G02-S05 | G02-S06 | G02-S07 | G02-S08,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi003,1,3,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,8943,11157,"(ಜನಮೇಜಯನಿಗೆ ದೇವಶುನಿಯಾದ ಸರಮೆಯಿಂದ ಶಾಪ, ಶಾಪಫಲನಿವಾರಣೆಗಾಗಿ ಅವನಿಂದ ಸೋಮಶ್ರವ ಎಂಬ ಪುರೋಹಿತನ ವರಣ, ಸರ್ಪಯಾಗಕ್ಕೆ ಕಾರಣವನ್ನು ಹೇಳುತ್ತಾ ಪ್ರಸಂಗದಿಂದ ಧೌಮ್ಯಶಿಷ್ಯರಾದ ಆರುಣಿ, ಉಪಮನ್ಯು ಮತ್ತು ಬೈದರ ಚರಿತ್ರೆ, ಬೈದರ ಶಿಷ್ಯರಾದ ಉದಂಕರ ಚರಿತ್ರೆ, ಉದಂಕರಿಗೆ ಸರ್ಪಗಳ ಮೇಲೆ ದ್ವೇಷ ಮತ್ತು ಅವರಿಂದ ಸರ್ಪಯಾಗವನ್ನು ಮಾಡುವಂತೆ ಜನಮೇಜಯನಿಗೆ ಒತ್ತಾಯ)",G03-S01 | G03-S02 | G03-S03 | G03-S04 | G03-S05 | G03-S06 | G03-S07 | G03-S08 | G04-S01 | G04-S02 | G04-S03 | G04-S04 | G04-S05 | G04-S06 | G04-S07 | G04-S08 | G04-S09 | G04-S10 | G04-S11 | G04-S12,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi004,1,4,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,11158,11287,(ಸತ್ರಯಾಗದಲ್ಲಿದ್ದ ಯಷಿಗಳಿಂದ ಶೌನಾಕಾಗಮನದನಂತರ ಕಥೆಯನ್ನು ಹೇಳುವಂತೆ ಸೂತರಿಗೆ ಪ್ರಾರ್ಥನೆ ಮತ್ತು ಶೌನಕರ ಆಗಮನ),G05-S01,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi005,1,5,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,11288,11542,"(ಭಾರತ ವಕ್ಪಗಳಾದ ಉಗ್ರಶ್ರವರ ಪಿತೃಗಳ ಕಥನ ಮತ್ತು ಶೌನಕರ ವಂಶವೃತ್ತಾಂತಕಥನ, ಭೃಗುಭಾರ್ಯೆಯನ್ನು ಅಪಹರಿಸಲು ಪುಲೋಮ ರಾಕ್ಷಸನಿಂದ ಅಗ್ನಿಯನ್ನು ಕುರಿತು ಪ್ರಶ್ನೆ ಮತ್ತು ಅಗ್ನಿಯ ಉತ್ತರ)",G05-S02 | G05-S03,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi006,1,6,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,11543,11690,"(ರಾಕ್ಸಸನಾದ ಪುಲೋಮನಿಂದ ಭೃಗುಭಾರ್ಯೆಯಾದ ಪುಲೋಮೆಯ ಅಪಹರಣ. ಗರ್ಭಿಣಿಯಾದ ಅವಳ ಉದರದಿಂದ ಪುತ್ರನ ನಿಷ್ಠಮಣ. ರಾಕ್ಷಸನ ಮರಣ, ವಧೂಸರನದಿಯ ಉತ್ಪತ್ತಿ, ಭೃಗುವಿನಿಂದ ಅಗ್ನಿಗೆ ಶಾಪದಾನ)",G05-S04 | G05-S05,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi007,1,7,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,11691,11979,(ಶಾಪಗ್ರಸ್ತನಾದ ಅಗ್ನಿಯಿಂದ ತನ್ನ ಮಹಿಮಾ ಕಥನಪೂರ್ವಕವಾಗಿ ಅಗ್ಗಿಕುಂಡಗಳಿಂದ ತಿರೋಧಾನ. ಖುಷಿಗಳಿಂದ ಪ್ರಾರ್ಥಿಸಲ್ಪಟ್ಟ ಬ್ರಹ್ಮದೇವರಿಂದ ಶಾಪ ವಿಮುಕ್ತನಾಗಿ ಪುನಃ ಸ್ವಾತ್ಪಪ್ರಕಾಶ),G05-S06 | G05-S07 | G05-S08,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi008,1,8,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,11980,12197,"(ಭೃಗುಪುತ್ರರಾದ ಚ್ಯವನರಿಂದ ಪ್ರಮತಿಯ ಪಿತಾಮಹನ ಪಿತನಾದ ಶೌನಕರ ಜನನ, ಪ್ರಮತಿಯ ಸುತನಾದ ರುರು ಮತ್ತು ಪ್ರಮದ್ದರೆಯ ಎವಾಹ ನಿಶ್ಚಯ, ಪ್ರಮದ್ವರೆಯ ಮರಣ)",G05-S08 | G06-S01 | G06-S02,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi009,1,9,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,12198,12439,"(ರುರು ಶೋಕ, ದೇವದೂತನ ಪ್ರೇರಣೆಯಂತೆ ಪ್ರಮದ್ದರೆಗೆ ತನ್ನ ಅರ್ಧಾಯುಷ್ಯದಬಾನ, ವಿವಾಹ, ರುರುವಿನ ಸರ್ಪದ್ವೇಷ ಮತ್ತು ಡುಂಡುಭ ವಧ   ಪ್ರಯತ್ನ)",G06-S03 | G06-S04 | G06-S05,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi010,1,10,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,12440,12538,(ಸಹಸ್ರಪಾತ್‌ ಖುಷಿಗೆ ಶಾಪದಿಂದ ಸರ್ಪಶರೀರಪ್ರಾಪ್ತಿ),G06-S05,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
