chapter_id,subject,current_remaining_detail_or_uncertainty,status,detailed_register
Adi001,Invocation; Naimisha frame; cosmology; text transmission; epic synopsis; praise,Full opening hymn sequence; creation/entity and time-cycle enumerations; textual-size and transmission figures; complete epic-tree metaphor; every Dhritarashtra/Sanjaya loss-of-hope incident; full phalashruti and commentary. The draft only samples/summarizes long sections4390-6495.,not_certified_unabridged,chapter_inventory_01_63.json
Adi002,Samantapanchaka; army units; battle duration; main and subsidiary parvas,Every army-unit multiplication from patti upward; full hundred-subparva list; each parva synopsis beyond its label; source chapter/verse counts and their variants; all closing praise. The eighteen-parva overview is present but not the full inventory6759-8928.,not_certified_unabridged,chapter_inventory_01_63.json
Adi003,Sarama; Somashravas; Aruni; Upamanyu; Baida; Uttanka and earrings,"Full Ashvin hymn9494-9820; exact Somashravas exception9097-9132 and divergent Sanskrit/Kannada gloss; all purity/acamana detail10297-10426; complete Uttanka hymns and weave/wheel allegory10600-10969; the meal-curse discussion in full. Major distinct incidents are retained, but conversations are condensed.",not_certified_unabridged,chapter_inventory_01_63.json
Adi004,Assembly waits for Shaunaka; arrival and Bhrigu-line inquiry,"Full request/response wording and transition formulae. The event sequence is represented, but no verse-level comparison has been completed.",not_certified_unabridged,chapter_inventory_01_63.json
Adi005,Bhrigu ancestry; Puloma rakshasa questions Agni about Puloma the wife,Complete Bhrigu birth/ancestry introduction and precise distinction between earlier desire/promise and valid marriage; all of Agni’s witness reasoning. Dialogue is currently narrated indirectly.,not_certified_unabridged,chapter_inventory_01_63.json
Adi006,Abduction; Chyavana birth; rakshasa destroyed; Vadhusara; Bhrigu curses Agni,"Every verse in the mother’s return, Brahma’s naming of Vadhusara and Bhrigu’s interrogation; source commentary on name etymology and witness responsibility.",not_certified_unabridged,chapter_inventory_01_63.json
Adi007,"Agni’s defense, withdrawal and Brahma’s resolution","Full witness-duty argument, offerings to gods/ancestors, differentiated Agni mouths/forms and purification explanation. The source’s technical ritual distinctions are condensed into a scene-level explanation.",not_certified_unabridged,chapter_inventory_01_63.json
Adi008,Bhrigu lineage; Pramadvara’s parentage/adoption; betrothal; snakebite,Complete lineage names and precise relationships; full list of sages at the death scene; all descriptions of foster care and wedding arrangements. Verify Shunaka/Shaunaka distinction.,not_certified_unabridged,chapter_inventory_01_63.json
Adi009,Ruru’s lament; half-life gift; revival and marriage; serpent hatred,Full lament and merit appeal; complete messenger/Visvavasu/Yama exchange; exact wedding timing; detailed vow wording. The supernatural lifespan gift is attributed to this story.,not_certified_unabridged,chapter_inventory_01_63.json
Adi010,Ruru confronts harmless Dundubha; identity revealed,"Full distinction between venomous snakes and harmless Dundubhas, and the initial questioning before Sahasrapat’s backstory.",not_certified_unabridged,chapter_inventory_01_63.json
