block_id,file,line_start,line_end,chapter_ids,linked_scene_ids,source_text,retention_status,adaptation_verification,source_layer_candidate
V1L00001,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,1,1,,I1-S01 | FF01-S01,ಭಗವಾನ್‌ಶ್ರೀವೇದವ್ಯಾಸಪ್ರಣೀತ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00004,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,4,4,,I1-S01 | FF01-S01,ಮಹಾಬಾರತ' ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00007,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,7,9,,I1-S01 | FF01-S01,"ಲಕ್ಡಾಲಂಕಾರಕ್ತೆ ಅನುದುಣವಾ0ಿ 
ಮಹಾಭಾರತತಾಪ್ಪಯಂನಿರ್ಣಯದೊಂದಿದೆ 
ಪ್ರತಿ ಶ್ಲೋಕದಳ, ಜೊತೆದೆ ಕನ್ನಡಾನುವಾದ ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00012,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,12,12,,I1-S01 | FF01-S01,ಅಲಿಪರ್ಪೆ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00015,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,15,15,,I1-S01 | FF01-S01,NNO ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00018,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,18,19,,I1-S01 | FF01-S01,"ip 
4 ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00022,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,22,23,,I1-S01 | FF01-S01,"ಪ ೨೮ ಗ ೩ 
ತ ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00026,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,26,30,,I1-S01 | FF01-S01,"PR. pC 
ಟ್‌ 
NR 
ದುಗ ಗಜ [ 
el ಗ್‌ ಶಿ Yr ( ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00033,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,33,33,,I1-S01 | FF01-S01,POE ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00036,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,36,37,,I1-S01 | FF01-S01,"WIM Ma 
NOLO ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00040,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,40,40,,I1-S01 | FF01-S01,ಲಿ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00043,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,43,45,,I1-S01 | FF01-S01,"ತತ್ವಸಂಶೋಧನಸಂಸತ್‌ (ಠಿ.) 
ಕರ್ನಾಟಕ ಸಂಸ್ಕೃತ ವಿಶ್ವವಿದ್ಯಾನಿಲಯದ ಮಾನ್ಯತೆ ಪಡೆದಿದೆ 
ಪಲಿಮಾರು ಮಠ, ಉಡುಪಿ ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00048,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,48,49,,I1-S01 | FF01-S01,"|| ಶ್ರೀರಾಮಶ್ರೀ ॥ 
11 ಶ್ರೀವೇದವ್ಯಾಸೋ ವಿಜಯತೇ ॥॥ ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00052,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,52,52,,I1-S01 | FF01-S01,ಭಗವಾನ್‌ ಶ್ರೀವೇದವ್ಯಾಸ ಪ್ರಣೀತ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00055,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,55,56,,I1-S01 | FF01-S01,"ಮಹಾಭಾರತ 
ಭಾಗ-೧ ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00059,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,59,60,,I1-S01 | FF01-S01,"(ಶ್ರೀಮದಾನಂದತೀರ್ಥರ ತಾತ್ಸರ್ಯನಿರ್ಣಯ ಶ್ರೀವಾದಿರಾಜತೀರ್ಥರ 
ಲಕ್ಷಾಲಂಕಾರದೊಂದಿಗೆ ಪ್ರತಿ ಶ್ಲೋಕಗಳ ಜೊತೆಗೆ ಕನ್ನಡಾನುವಾದ) ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00063,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,63,64,,I1-S01 | FF01-S01,"ಪರಮಪೂಜ್ಯ ಶ್ರೀ ಶ್ರೀ ವಿದ್ಯಾಧೀಶತೀರ್ಥ ಶ್ರೀಪಾದರು 
ಶ್ರೀಹೃಷೀಕೇಶತೀರ್ಥಸಂಸ್ಥಾನಂ, ಪಲಿಮಾರು ಮಠ, ಉಡುಪಿ ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00067,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,67,68,,I1-S01 | FF01-S01,"ಅನುವಾದಕರು : 
ವಿದ್ವಾನ್‌॥ ಪಿ. ಎಸ್‌. ಶೇಷಗಿರಿ ಆಚಾರ್ಯ, ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00071,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,71,73,,I1-S01 | FF01-S01,"ತತ್ಪಸಂಶೋಧನಸಂಸತ್‌ (ರಿ.) 
ಕರ್ನಾಟಕ ಸ ಸಂಸ್ಕ; ತ ವಿಶ್ವವಿದ್ಯಾ ಲಯದ ಮಾನ್ಯತೆ $ ಪಡೆದಿದೆ 
ಶ್ರೀಪಲಿಮಾರು ಮಠ, ಉಡುಪಿ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00076,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,76,76,,I1-S01 | FF01-S01,1! ಮಹಾಭಾರತ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00079,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,79,79,,I1-S01 | FF01-S01,ಪಿ pA ಕ ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00082,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,82,84,,I1-S01 | FF01-S01,"ಮಹಾಭಾರತ - ಭಾರತತಾತರ್ಯನಿರ್ಣಯ- ಲಕಾಲಂಕಾರ ಕನಡಾನುವಾದದ ಸಮಗ್ರ 
ಯೋಜನೆಯಕತಿಗಳನು ಪರಮಪೂಜ ಶ್ರೀ ಶ್ರೀ ವಿದಾಧೀಶತೀರ್ಥ ಶ್ರೀಪಾದರ ಷಷಿಪೂರ್ತಿಯ 
ಬ್ರ ಜ್ನ ಇ ವ ್‌ ನ) [2 ನ ಸಣ್ಬಖ್ರ ",retained_verbatim_OCR,not_sentence_verified,commentary_heading
V1L00087,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,87,87,,I1-S01 | FF01-S01,ಸಮಾರಂಭದಲ್ಲಿ ಮನ್ನಥ ಸಂ/ ಕಾರ್ತಿಕ ಬಹುಳ ತೃತೀಯಾ (28.11.2015) ದಂದು ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00090,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,90,90,,I1-S01 | FF01-S01,2 ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00093,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,93,95,,I1-S01 | FF01-S01,"2 
ಮ pe ಹಾಲೆ! A Ra pe § ಅ ವ 
ತಿರುಮಲಕೇತ್ರದಲ್ಲಿಪರಮಪೂಜ, ಶ್ರೀ ಶ್ರೀ ವಿಶೇಶತೀರ್ಥ ಶ್ರೀಪಾದರು ಅನಾವರಣಗೊಳಿಸಿ ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00098,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,98,99,,I1-S01 | FF01-S01,"₹, 
( ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00102,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,102,102,,I1-S01 | FF01-S01,"© ತತ್ತಸಂಶೋಧನ ಸಂಸತ್‌ (ರ.), ಪಲಿಮಾರು ಮಠ, ಉಡುಪಿ. ",retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
V1L00105,MAHABHARATA-1-AADIPARVA-_djvu (1).txt,105,105,,I1-S01 | FF01-S01,ISBN : 978-93-81807-24-8 ,retained_verbatim_OCR,not_sentence_verified,unclassified_source_block
