chapter,title_en,line_start,line_end,printed_pages,scene_ids,status,unvoiced_or_unverified
1,Maya offers repayment; Krishna asks for an assembly hall,19420,19745,"(413, 420)",40-S01; 40-S02,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,Detailed Maya catalogue of earlier works; precise building-site measurements and inaugural gifts; interleaved Tatparya wording.
2,Krishna departs for Dvaraka,19746,20092,"(421, 428)",40-S03,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full farewell gift/ritual sequence, all Dvaraka greeting recipients and individual chariot-service repetitions."
3,"Maya retrieves materials, mace and conch; builds the hall",20093,20501,"(429, 437)",40-S04; 40-S05,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,Full Bindu-sarovara sacred-place and earlier-sacrifice excursus; exact material/dimension/guardian catalogues and all numerical details.
4,Yudhishthira enters the hall and receives the assembly,20502,20919,"(438, 447)",40-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full invited sage/king/musician catalogue and detailed feast, gifts and protocol; source names require pronunciation check."
5,Narada questions the king on governance,20920,22238,"(448, 478)",40-S07; 40-S08; S01-S01; S01-S02; S01-S03; S01-S04; S01-S05; S01-S06; S01-S07; S01-S08; S01-S09; S01-S10; S01-S11; S01-S12; S01-S13,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Every major advice category has companion explanation; exact verse-by-verse131-ish question sequence, all scholastic glosses and archaic units are not fully voiced. Do not treat topic coverage as exact question-count verification."
6,Yudhishthira asks about other assemblies,22239,22430,"(479, 482)",41-S01,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,Minor formal responses and courtesy repetitions are condensed.
7,Indra's assembly,22431,22690,"(483, 488)",41-S02; S02-S01; S02-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full sage/deity/attendant name catalogue and exact dimensions are retained in source, only selected names are spoken."
8,Yama's assembly,22691,23037,"(489, 496)",41-S03; S02-S02; S02-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,Full ancestral royal catalogue with repeated names and exact groups/counts; identities cannot safely be inferred from names alone.
9,Varuna's assembly,23038,23424,"(497, 503)",41-S04; S02-S03; S02-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full naga, daitya, river, ocean and other assembly catalogues; raw pages500–501 repeat and require deduplication against scans."
10,Kubera's assembly,23425,23731,"(504, 510)",41-S05; S02-S04; S02-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full apsara/gandharva/yaksha/attendant name catalogue, all sensory details and dimensions; selected names only spoken."
11,Brahma's assembly,23732,24411,"(511, 525)",41-S06; S02-S05; S02-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full personified knowledge, cosmic entity, sage and deity catalogue; Narada's solar-guided account and interleaved theological commentary compressed."
12,"Harishchandra, Rajasuya and Pandu's message",24412,24801,"(526, 534)",41-S07; 41-S08,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full Harishchandra conquest/gift metrics, alternative merits for reaching the assembly, Narada's concluding caution and Tatparya details."
13,Yudhishthira consults ministers on Rajasuya,24802,25147,"(535, 542)",42-S01; 42-S02,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"All prosperity conditions, adviser speeches and procedural repetitions; interleaved Tatparya theology compressed."
14,Krishna arrives at Indraprastha,25148,25564,"(543, 551)",42-S03,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full messenger/arrival protocol, devotional exchanges, Krishna qualities and interleaved commentary."
15,Krishna describes Jarasandha's power,25565,26182,"(552, 566)",42-S04; 42-S05; S03-S01; S03-S02,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full royal-alliance and Yadava lineage/name lists, military quantities, fortress dimensions, some regional detail; Hamsa/Dibaka substory now voiced inS03."
16,Obstacles to Rajasuya,26183,26574,"(567, 575)",42-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,Full opposing-warrior name list and each commentarial gloss; central captives/Rajasuya obstacle and withdrawal interpretation voiced.
17,"Krishna, Yudhishthira and Bhima deliberate",26575,26813,"(576, 580)",42-S07; 42-S08,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,Full philosophical argument and ritual-human-sacrifice glosses; all major council positions voiced.
18,Yudhishthira and Arjuna deliberate,26814,27057,"(581, 584)",42-S09,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,Detailed metaphors/arguments beyond core dialogue. Repeated opening/pages580–581 need scan-based deduplication.
19,Jarasandha's birth,27058,27646,"(585, 598)",43-S01; 43-S02; 43-S03,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"All Brihadratha praise, precise boon language, pregnancy/birth detail and Jara speech; central causal story voiced without graphic birth imagery."
20,Jara's identity and Jarasandha's growth,27647,28030,"(599, 607)",43-S04; 43-S05,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full Jara household-deity explanation, Chandakaushika's prophecy, Jarasandha growth feats and thrown-mace place-origin detail; dynasty/Kamsa linkage voiced."
21,"Krishna, Bhima and Arjuna travel to Magadha",28031,28479,"(608, 618)",43-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Exact travel itinerary, place names, rites of departure, full Krishna strategic speech and Tatparya commentary."
22,Entry into Girivraja and challenge to Jarasandha,28480,29745,"(619, 645)",43-S07; 43-S08; 43-S09; 44-S06; S03-S03; S03-S04; S03-S05; S03-S06,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full five-hill/geographical and civic catalogues, Gotama-related place tradition, exact debate repetitions and cult details; drums-origin and identity reasoning now voiced."
23,Krishna–Jarasandha enmity and wrestling,29746,30655,"(646, 666)",44-S01; 44-S02; 44-S03; 44-S04; 44-S05; 44-S07; 44-S11; S03-S06; S03-S07; S03-S08,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,Verse-by-verse wrestling holds and formal courtesies; full theological gloss. Krishna/Kamsa backstory and15-day/14thnight timing both voiced.
24,"Jarasandha's death, release of kings and return",30656,31396,"(667, 684)",44-S08; 44-S09; 44-S10; 44-S12; 44-S13,MAJOR_NARRATIVE_AND_SELECTED_EXPLANATIONS_DRAFTED_NOT_EXHAUSTIVE,"Full liberated-kings praise, chariot descriptive catalogue and all ritual/gift details; Sahadeva identity, coronation, marriage commentary and Usha distinction now voiced."
