reading_order,scene_id,title_kn,source,narration_kn,adapted_dialogue_kn,spoken_words,planning_seconds_low,planning_seconds_high,recorded_take_path,actual_seconds,pronunciation_review,source_completeness_review,performance_approved,caption_file
1,I1-S01,"ಒಂದು ಕಥೆ, ಅನೇಕ ಧ್ವನಿಗಳು",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1–147; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 435–616; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 2025–2477,"ಮಹಾಭಾರತದ ಕಥೆಯೊಳಗೆ ಕಾಲಿಡುವ ಮೊದಲು, ಆ ಕಥೆ ನಮ್ಮ ಕೈಗೆ ಹೇಗೆ ಬಂದಿತು ಎಂಬುದನ್ನು ಅರಿಯೋಣ. ಇದು ಕೇವಲ ರಾಜರು ಯುದ್ಧ ಮಾಡಿದ ಕಥೆಯಲ್ಲ. ಕುಟುಂಬ, ಅಧಿಕಾರ, ಕರ್ತವ್ಯ, ಆಸೆ, ನಂಬಿಕೆ ಮತ್ತು ಮಾನವನ ನಿರ್ಧಾರಗಳ ಪರಿಣಾಮಗಳನ್ನು ಅನೇಕ ಕಥೆಗಳ ಮೂಲಕ ಪರಿಶೀಲಿಸುವ ಮಹಾಕಾವ್ಯ. ಈ ಗ್ರಂಥದ ಪರಿಚಯಲೇಖಕರು ಮಹಾಭಾರತವನ್ನು ಭಕ್ತಿಯಿಂದ ಕಾಣುತ್ತಾರೆ. ವೇದವ್ಯಾಸರನ್ನು ಭಗವಂತನ ಅವತಾರವೆಂದು ಸ್ಮರಿಸಿ, ಮಹಾಭಾರತದ ಅಧ್ಯಯನವನ್ನು ಬದುಕಿಗೆ ದಾರಿತೋರುವ ಸಾಧನೆಯೆಂದು ವಿವರಿಸುತ್ತಾರೆ. ಈ ಮಾತುಗಳು ನಾವು ಬಳಸುತ್ತಿರುವ ಆವೃತ್ತಿಯ ಧಾರ್ಮಿಕ ದೃಷ್ಟಿಕೋನವನ್ನು ಪರಿಚಯಿಸುತ್ತವೆ.

ನಮ್ಮ ಸರಣಿಗೆ ಆಧಾರವಾಗಿರುವುದು ಕನ್ನಡಾನುವಾದದ ನಾಲ್ಕು ಸಂಪುಟಗಳು. ಅವುಗಳಲ್ಲಿ ಸಂಸ್ಕೃತ ಶ್ಲೋಕಗಳು ಕನ್ನಡ ಲಿಪಿಯಲ್ಲಿವೆ. ಶ್ಲೋಕಗಳ ಜೊತೆಗೆ ಕನ್ನಡ ಅರ್ಥವಿದೆ. ಸಂದರ್ಭಾನುಸಾರ ಮಹಾಭಾರತತಾತ್ಪರ್ಯನಿರ್ಣಯ ಮತ್ತು ಲಕ್ಷಾಲಂಕಾರದ ವಿವರಣೆಗಳೂ ಸೇರಿವೆ. ಆದ್ದರಿಂದ ಕಥೆಯ ಮಾತು, ವ್ಯಾಖ್ಯಾನದ ಮಾತು, ಸಂಪಾದಕರ ಮಾತು — ಇವುಗಳನ್ನು ಕೇಳುವಾಗ ಅವುಗಳ ಹಿನ್ನೆಲೆಯನ್ನು ಗುರುತಿಸಿಕೊಳ್ಳೋಣ.",,90,40,51,,,pending,pending,,
2,I1-S02,ಈ ಆವೃತ್ತಿಯ ಹಿಂದೆ ನಿಂತವರು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 148–434; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 865–921; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1716–2024,"ಈ ಕನ್ನಡಾನುವಾದವನ್ನು ವಿದ್ವಾನ್ ಪಿ. ಎಸ್. ಶೇಷಗಿರಿ ಆಚಾರ್ಯರು ನೀಡಿದ್ದಾರೆ. ಉಡುಪಿಯ ಪಲಿಮಾರು ಮಠದ ತತ್ವಸಂಶೋಧನಸಂಸತ್ ಈ ಪ್ರಕಟಣೆಯ ಹೊಣೆಯನ್ನು ವಹಿಸಿದೆ. ಶ್ರೀ ವಿದ್ಯಾಧೀಶತೀರ್ಥ ಶ್ರೀಪಾದರ ಪ್ರೋತ್ಸಾಹ, ಅನೇಕ ಮಠಗಳ ಸಹಕಾರ, ಹಸ್ತಪ್ರತಿಗಳನ್ನು ಒದಗಿಸಿದವರ ನೆರವು, ಪಂಡಿತರ ಪರಿಶೀಲನೆ, ಅಕ್ಷರಜೋಡಣೆ ಮತ್ತು ಕರಡುತಿದ್ದುವವರ ಶ್ರಮವನ್ನು ಪ್ರಕಾಶಕರ ಮಾತು ಕೃತಜ್ಞತೆಯಿಂದ ಸ್ಮರಿಸುತ್ತದೆ.

ಆರಂಭದಲ್ಲಿರುವ ನಾಲ್ಕು ಅನುಗ್ರಹಸಂದೇಶಗಳು ಪೇಜಾವರ, ಅದಮಾರು, ಪಲಿಮಾರು ಮತ್ತು ಸೋದೆ ಮಠಗಳ ಸ್ವಾಮೀಜಿಗಳಿಂದ ಬಂದಿವೆ. ಅವುಗಳ ಆಶಯ ಒಂದೇ ದಿಕ್ಕಿನಲ್ಲಿ ಸಾಗುತ್ತದೆ: ಗ್ರಂಥವನ್ನು ಉಳಿಸಬೇಕು, ಅದರ ಅರ್ಥವನ್ನು ತಿಳಿಸಬೇಕು, ಅಧ್ಯಯನದ ಫಲ ಬದುಕಿನ ನಡೆನುಡಿಗಳಲ್ಲಿ ಕಾಣಬೇಕು. ಈ ಸಂದೇಶಗಳನ್ನು ನಾವು ಕಥೆಯ ಘಟನೆಯಾಗಿ ಕಾಣುವುದಿಲ್ಲ; ಈ ಪುಸ್ತಕವನ್ನು ಓದುಗರಿಗೆ ತಲುಪಿಸಿದ ಪರಂಪರೆಯ ಪರಿಚಯವಾಗಿ ಸ್ವೀಕರಿಸುತ್ತೇವೆ. ನಮ್ಮ ಪರದೆಯ ಮೇಲಿನ ಕೃತಜ್ಞತಾಪಟ್ಟಿಯಲ್ಲಿ ಅನುವಾದಕ, ಪ್ರಕಾಶಕ ಮತ್ತು ಮೂಲದಲ್ಲಿ ಉಲ್ಲೇಖಿತ ಸಹಯೋಗಿಗಳ ಹೆಸರುಗಳಿಗೆ ಅವರವರ ಸ್ಥಾನವಿರುತ್ತದೆ.",,88,39,50,,,pending,pending,,
3,I1-S03,ಒಂದು ಗ್ರಂಥದ ಹಲವು ಪಾಠಗಳು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 617–1563; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 2478–3168,"ಮಹಾಭಾರತವು ತಲೆಮಾರುಗಳಿಂದ ಹಸ್ತಪ್ರತಿಗಳಲ್ಲಿ ಉಳಿದುಬಂದಿದೆ. ಬೇರೆ ಪ್ರದೇಶಗಳ ಪ್ರತಿಗಳಲ್ಲಿ ಪದ, ಶ್ಲೋಕಕ್ರಮ ಮತ್ತು ಅಧ್ಯಾಯವಿಭಾಗ ಒಂದೇ ರೀತಿಯಲ್ಲಿರುವುದಿಲ್ಲ ಎಂದು ಈ ಪುಸ್ತಕದ ಸಂಶೋಧನಲೇಖನ ತಿಳಿಸುತ್ತದೆ. ಉತ್ತರದ ಪಾಠ, ದಕ್ಷಿಣದ ಪಾಠ, ಹಿಂದಿನ ಮುದ್ರಣಗಳು ಮತ್ತು ಹಸ್ತಪ್ರತಿಗಳನ್ನು ಸಂಪಾದಕರು ಹೋಲಿಸಿದ್ದಾರೆ. ಭಂಡಾರ್ಕರ್ ಸಂಸ್ಥೆಯ ದೊಡ್ಡ ಸಂಶೋಧನಪ್ರಯತ್ನವನ್ನೂ ಅವರು ಚರ್ಚಿಸುತ್ತಾರೆ. ಜೊತೆಗೆ, ತಮ್ಮ ಆವೃತ್ತಿ ಯಾವ ವಿಚಾರಗಳಲ್ಲಿ ಬೇರೆ ನಿರ್ಧಾರಕ್ಕೆ ಬಂದಿದೆ ಎಂಬುದನ್ನು ವಿವರಿಸುತ್ತಾರೆ.

ಈ ಆವೃತ್ತಿಯಲ್ಲಿ ಶ್ರೀಮದಾನಂದತೀರ್ಥರ ಮಹಾಭಾರತತಾತ್ಪರ್ಯನಿರ್ಣಯ ಮತ್ತು ಶ್ರೀವಾದಿರಾಜತೀರ್ಥರ ಲಕ್ಷಾಲಂಕಾರಕ್ಕೆ ವಿಶೇಷ ಪ್ರಾಮುಖ್ಯವಿದೆ. ಲಕ್ಷಾಲಂಕಾರದಲ್ಲಿನ ಪದಾರ್ಥ, ಸಂದರ್ಭವಿವರಣೆ ಮತ್ತು ಧಾರ್ಮಿಕ ಅರ್ಥಗಳನ್ನು ಸಂಪಾದಕರು ಹಲವು ಉದಾಹರಣೆಗಳಿಂದ ತೋರಿಸುತ್ತಾರೆ. ಹಸ್ತಪ್ರತಿಗಳ ವಿವರಣೆ, ಹಿಂದಿನ ಸಂಶೋಧನೆಗಳ ಪರಿಚಯ, ವ್ಯಾಖ್ಯಾನಗಳ ಪಟ್ಟಿ, ಪಾಠಭೇದಗಳ ಚರ್ಚೆ — ಇವೆಲ್ಲವೂ ಮುನ್ನುಡಿಯ ಭಾಗಗಳು. ಒಂದು ಪದದ ಆಯ್ಕೆಯೂ ಕಥೆಯ ಅರ್ಥವನ್ನು ಬದಲಿಸಬಲ್ಲದು ಎಂಬುದು ಅದರ ಮುಖ್ಯ ಪಾಠ. ಅಭಿಪ್ರಾಯಭೇದ ಇರುವಲ್ಲಿ, ಈ ಪುಸ್ತಕದ ನಿರ್ಣಯವನ್ನು ಅದರದೇ ನಿರ್ಣಯವೆಂದು ಗುರುತಿಸಿ ಹೇಳುತ್ತೇವೆ.",,95,42,54,,,pending,pending,,
4,I1-S04,ಅಧ್ಯಾಯಗಳ ಸಂಖ್ಯೆಯ ಗೊಂದಲ ತಪ್ಪಿಸಿಕೊಳ್ಳೋಣ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1564–1715,"ಈ ಪುಸ್ತಕದ ಆದಿಪರ್ವದಲ್ಲಿ ಇನ್ನೂರ ಮೂವತ್ತೇಳು ಅಧ್ಯಾಯಗಳಿವೆ. ಬೇರೆ ಗ್ರಂಥಗಳಲ್ಲಿ ಅಧ್ಯಾಯಗಳ ಸಂಖ್ಯೆ ಬೇರೆ ಇರಬಹುದು ಎಂದು ಸಂಪಾದಕರು ಮೊದಲೇ ತಿಳಿಸಿದ್ದಾರೆ. ಅದು ಪ್ರತಿಯೊಂದು ಸಂದರ್ಭದಲ್ಲೂ ಹೊಸ ಕಥೆ ಸೇರಿದೆ ಅಥವಾ ಹಳೆಯ ಕಥೆ ಕಳೆದುಹೋಗಿದೆ ಎಂದರ್ಥವಲ್ಲ; ಕೆಲವೊಮ್ಮೆ ಒಂದೇ ವಿಷಯವನ್ನು ಬೇರೆ ಸ್ಥಳದಲ್ಲಿ ಅಧ್ಯಾಯಗಳಾಗಿ ವಿಭಜಿಸಲಾಗಿದೆ.

ಇಲ್ಲಿ ಪುರೂವಂಶದ ವೃತ್ತಾಂತವು ಅರವತ್ತಮೂರನೆಯ ಮತ್ತು ಎಂಭತ್ತಮೂರನೆಯ ಅಧ್ಯಾಯಗಳಲ್ಲಿ ಮತ್ತೆ ಬರುತ್ತದೆ. ಆ ಮರುಕಥನವನ್ನು ಸಂಪಾದಕರು ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ ಉಳಿಸಿದ್ದಾರೆ. ಹಾಗೆಯೇ ಯಯಾತಿಯ ಕಥೆ ದುಷ್ಯಂತನ ಕಥೆಗಿಂತ ಮೊದಲು ಬರುತ್ತದೆ. ನಮ್ಮ ಸರಣಿಯೂ ಈ ಕ್ರಮವನ್ನು ತಿಳಿಸಿ ಸಾಗುತ್ತದೆ. ಪರಾಶರ–ಸತ್ಯವತಿಯ ಪ್ರಸಂಗ, ಕಣಿಂಕನ ಉಪದೇಶದ ಸಂದರ್ಭ ಮತ್ತು ದ್ರೌಪದಿಯ ಹಿಂದಿನ ಜನ್ಮಗಳ ವಿವರಣೆಗಳಲ್ಲಿ ಈ ಆವೃತ್ತಿಯದೇ ಚರ್ಚೆಗಳಿವೆ. ಕಥೆಗೆ ಬರುವ ಸ್ಥಳದಲ್ಲಿ ಅಗತ್ಯವಾದ ಹಿನ್ನೆಲೆಯನ್ನು ಹೇಳುತ್ತೇವೆ. ಹಿಂದಿನ ಘಟನೆಯನ್ನು ಮತ್ತೆ ಹೇಳುವಾಗ, ಅದು ನೆನಪಿಸುವ ಮರುಕಥನವೆಂದು ಸ್ಪಷ್ಟಪಡಿಸುತ್ತೇವೆ; ಹೊಸ ಘಟನೆ ಸಂಭವಿಸಿದಂತೆ ತೋರಿಸುವುದಿಲ್ಲ.",,92,41,53,,,pending,pending,,
5,I1-S05,ಈ ನಾಲ್ಕು ಪುಸ್ತಕಗಳ ಪ್ರಯಾಣ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3169–3715; MAHABHARATA-2-AADIPARVA_djvu.txt lines 100–490; MAHABHARATA-3-AADIPARVA_djvu.txt lines 107–811; MAHABHARATA-4-AADIPARVA_djvu.txt lines 369–905; MAHABHARATA-4-AADIPARVA_djvu.txt lines 19387–19424; MAHABHARATA-4-AADIPARVA_djvu.txt lines 31395–31396,"ಮೊದಲ ಸಂಪುಟವು ಕಥೆಯನ್ನು ಕೇಳುವ ಋಷಿಗಳ ಸಭೆಯಿಂದ ನಮ್ಮ ಪ್ರಯಾಣವನ್ನು ಆರಂಭಿಸುತ್ತದೆ. ಸರ್ಪಯಾಗದ ಹಿನ್ನೆಲೆ, ಗರುಡನ ವೃತ್ತಾಂತ, ಆಸ್ತೀಕನ ಕಾರ್ಯ ಮತ್ತು ರಾಜವಂಶಗಳ ಪರಿಚಯ ಮುಂದೆ ಬರುತ್ತವೆ. ಎರಡನೆಯ ಸಂಪುಟವು ಯಯಾತಿಯಿಂದ ಕುರುಕುಟುಂಬದ ಜನನ ಮತ್ತು ರಾಜಕುಮಾರರ ಶಿಕ್ಷಣದವರೆಗೆ ಸಾಗುತ್ತದೆ. ಮೂರನೆಯದು ಆ ಶಿಕ್ಷಣದಿಂದ ಹುಟ್ಟುವ ಸ್ಪರ್ಧೆ, ಅಪಾಯ, ಅರಣ್ಯಪ್ರಯಾಣ ಮತ್ತು ದ್ರೌಪದಿಯ ವಿವಾಹದವರೆಗೆ ನಮ್ಮನ್ನು ಕರೆದೊಯ್ಯುತ್ತದೆ. ನಾಲ್ಕನೆಯದು ಪಾಂಡವರ ಹೊಸ ಜೀವನವನ್ನು ಮುಂದುವರಿಸಿ, ಆದಿಪರ್ವವನ್ನು ಮುಗಿಸುತ್ತದೆ; ನಂತರ ಸಭಾಪರ್ವದ ಆರಂಭವನ್ನೂ ಒಳಗೊಂಡಿದೆ.

ಈ ನಾಲ್ಕು ಕಡತಗಳಲ್ಲಿ ಸಂಪೂರ್ಣ ಮಹಾಭಾರತದ ಹದಿನೆಂಟು ಪರ್ವಗಳಿಲ್ಲ. ಇಲ್ಲಿ ದೊರೆಯುವ ಕೊನೆಯ ಕಥಾಭಾಗ ಜರಾಸಂಧನ ವಧೆ ಮತ್ತು ಬಂಧಿತ ರಾಜರ ಬಿಡುಗಡೆಯವರೆಗೆ ಬರುತ್ತದೆ. ಮುಂದಿನ ಮಹಾಘಟನೆಗಳನ್ನು ಈ ಭಾಗದೊಳಗೆ ನಡೆದಂತೆ ಸೇರಿಸುವುದಿಲ್ಲ. ನಮ್ಮ ಕಥೆ ಎಲ್ಲಿಂದ ಆರಂಭವಾಗುತ್ತದೆ, ಯಾರ ಮಾತಿನೊಳಗೆ ಯಾರ ಕಥೆಯನ್ನು ಕೇಳುತ್ತಿದ್ದೇವೆ, ಯಾವ ಕಾಲಕ್ಕೆ ಹಿಂತಿರುಗುತ್ತಿದ್ದೇವೆ ಎಂಬುದನ್ನು ಪ್ರತಿಯೊಂದು ಹಂತದಲ್ಲೂ ನೆನಪಿಸುತ್ತೇವೆ. ಈಗ ನೈಮಿಷಾರಣ್ಯದ ಋಷಿಸಭೆಗೆ ಸಾಗೋಣ. ಅಲ್ಲಿ ಕೇಳಲ್ಪಡುವ ಒಂದು ಪ್ರಶ್ನೆ, ಅನೇಕ ತಲೆಮಾರುಗಳ ಕಥೆಯ ಬಾಗಿಲನ್ನು ತೆರೆಯಲಿದೆ.",,105,47,60,,,pending,pending,,
6,FF01-S01,"ಗ್ರಂಥ, ಅನುವಾದ ಮತ್ತು ವ್ಯಾಖ್ಯಾನ",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1–147,"ಈ ನಾಲ್ಕು ಸಂಪುಟಗಳ ಶೀರ್ಷಿಕೆ ನಮಗೆ ಅವುಗಳ ಸ್ವರೂಪವನ್ನು ತಿಳಿಸುತ್ತದೆ. ವೇದವ್ಯಾಸಪ್ರಣೀತ ಮಹಾಭಾರತದ ಶ್ಲೋಕಗಳ ಜೊತೆಗೆ ಕನ್ನಡಾನುವಾದವಿದೆ. ಶ್ರೀಮದಾನಂದತೀರ್ಥರ ಮಹಾಭಾರತತಾತ್ಪರ್ಯನಿರ್ಣಯ ಮತ್ತು ಶ್ರೀವಾದಿರಾಜತೀರ್ಥರ ಲಕ್ಷಾಲಂಕಾರದ ವಿವರಣೆಗಳು ಅದರೊಂದಿಗೆ ಸಾಗುತ್ತವೆ. ಅನುವಾದಕ ವಿದ್ವಾನ್ ಪಿ. ಎಸ್. ಶೇಷಗಿರಿ ಆಚಾರ್ಯರು; ಪ್ರಕಾಶನದ ಹೊಣೆ ಉಡುಪಿಯ ಪಲಿಮಾರು ಮಠದ ತತ್ವಸಂಶೋಧನಸಂಸತ್ತಿನದು. ಹೀಗಾಗಿ ಈ ಪುಸ್ತಕದಲ್ಲಿ ಮೂಲಕಥೆಯನ್ನು ಕನ್ನಡದಲ್ಲಿ ಕೇಳುವ ಅವಕಾಶದ ಜೊತೆಗೆ, ಒಂದು ನಿರ್ದಿಷ್ಟ ವ್ಯಾಖ್ಯಾನಪರಂಪರೆಯ ಅರ್ಥವನ್ನೂ ತಿಳಿಯುವ ಅವಕಾಶವಿದೆ. ಯಾವ ಮಾತು ಕಥೆಯದು, ಯಾವುದು ವಿವರಣೆಯದು ಎಂಬುದನ್ನು ಗುರುತಿಸುವುದು ಓದಿನ ಮೊದಲ ಹೆಜ್ಜೆ.",,57,25,33,,,pending,pending,,
7,FF01-S02,ಪೇಜಾವರ ಸಂದೇಶ: ಪ್ರಮಾಣ ಮತ್ತು ಅರ್ಥಗ್ರಹಣ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 148–218,"ಪೇಜಾವರದ ಶ್ರೀ ವಿಶ್ವೇಶತೀರ್ಥರ ಸಂದೇಶವು ವೇದ, ಉಪನಿಷತ್ತು, ಮಹಾಭಾರತ ಮತ್ತು ಬ್ರಹ್ಮಸೂತ್ರಗಳನ್ನು ಒಂದೇ ಅಧ್ಯಾತ್ಮಪರಂಪರೆಯ ಜ್ಞಾನಮೂಲಗಳಾಗಿ ಪರಿಚಯಿಸುತ್ತದೆ. ಆ ಧಾರ್ಮಿಕ ದೃಷ್ಟಿಯಲ್ಲಿ ವೇದಗಳು ಅಪೌರುಷೇಯ; ವೇದವ್ಯಾಸರು ಭಗವಂತನ ಅವತಾರ. ಗ್ರಂಥದ ನಿಜಾರ್ಥವನ್ನು ತಿಳಿಯಲು ಸೂತ್ರಗಳ ಮಾರ್ಗದರ್ಶನವೂ ಅಗತ್ಯವೆಂದು ಸಂದೇಶ ಹೇಳುತ್ತದೆ. ನಂತರ ಪಾಠಗಳಲ್ಲಿ ಉಂಟಾದ ಲೋಪ, ವ್ಯತ್ಯಾಸ ಮತ್ತು ಸೇರ್ಪಡೆಗಳ ಬಗ್ಗೆ ಮಾತನಾಡಿ, ಮಧ್ವರ ತಾತ್ಪರ್ಯನಿರ್ಣಯ ಮತ್ತು ವಾದಿರಾಜರ ವ್ಯಾಖ್ಯಾನಗಳನ್ನು ಆಧರಿಸಿದ ಪರಿಶೀಲನೆಯ ಮಹತ್ವವನ್ನು ಹೊಗಳುತ್ತದೆ. ಇದು ಪ್ರಕಟಣೆಗೆ ಕೊಟ್ಟ ಅನುಗ್ರಹಮಾತು; ಗ್ರಂಥವನ್ನು ಕೇವಲ ಮುದ್ರಿಸುವುದಕ್ಕಿಂತ ಅದರ ಅರ್ಥವನ್ನು ಸರಿಯಾಗಿ ತಲುಪಿಸುವ ಜವಾಬ್ದಾರಿಯನ್ನು ನೆನಪಿಸುತ್ತದೆ.",,60,27,34,,,pending,pending,,
8,FF01-S03,"ಅದಮಾರು ಸಂದೇಶ: ಭಾರವಾದ ಪದ, ವಿಶಾಲವಾದ ಅರ್ಥ",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 219–271,"ಅದಮಾರು ಮಠದ ಶ್ರೀ ವಿಶ್ವಪ್ರಿಯತೀರ್ಥರ ಸಂದೇಶವು ಮಹಾಭಾರತದ ಪದಗಳ ಮತ್ತು ಅರ್ಥಗಳ ವ್ಯಾಪ್ತಿಯನ್ನು ನೆನಪಿಸುತ್ತದೆ. ಗ್ರಂಥವನ್ನು ತಿಳಿಯಲು ಶ್ರದ್ಧೆಯೊಂದಿಗೆ ಅಧ್ಯಯನವೂ ಬೇಕು ಎಂಬ ಆಶಯ ಅದರಲ್ಲಿ ಇದೆ. ಪ್ರಾಚೀನ ಪ್ರತಿಗಳನ್ನು ಬೇರೆ ಸ್ಥಳಗಳಿಂದ ಒಟ್ಟುಗೂಡಿಸಿ, ಪಂಡಿತರ ನೆರವಿನಿಂದ ಅವುಗಳನ್ನು ಪರಿಶೀಲಿಸುವ ಪ್ರಕಟಣೆಯ ಪ್ರಯತ್ನವನ್ನು ಪ್ರಶಂಸಿಸುತ್ತದೆ. ಗುರುಪರಂಪರೆಯ ಆಶಯವನ್ನು ಸಮಾಜಕ್ಕೆ ತಲುಪಿಸುವ ಕೆಲಸಕ್ಕೆ ಜನರ ಸಹಕಾರವನ್ನೂ ಬಯಸುತ್ತದೆ. ಇಲ್ಲಿ ಪುಸ್ತಕದ ಮಹತ್ವದ ಮಾತು ಮತ್ತು ಅದನ್ನು ಉಳಿಸುವ ಮಾನವಶ್ರಮದ ಮಾತು ಒಂದಾಗಿ ಬರುತ್ತವೆ. ಭಕ್ತಿಯು ಗ್ರಂಥದ ಸಂರಕ್ಷಣೆಗೆ ಪ್ರೇರಣೆಯಾಗಿರುವುದನ್ನು ಈ ಸಂದೇಶದಲ್ಲಿ ಕಾಣಬಹುದು.",,58,26,33,,,pending,pending,,
9,FF01-S04,ಪಲಿಮಾರು ಸಂದೇಶ: ಮಹಾಭಾರತ ಎಂದರೆ ಜಗಳವಷ್ಟೇ ಅಲ್ಲ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 272–379,"ಪಲಿಮಾರು ಮಠದ ಶ್ರೀ ವಿದ್ಯಾಧೀಶತೀರ್ಥರ ಸಂದೇಶವು ಒಂದು ಜನಪ್ರಚಲಿತ ಭಯವನ್ನು ಪ್ರಶ್ನಿಸುತ್ತದೆ: ಮಹಾಭಾರತವನ್ನು ಮನೆಯಲ್ಲಿ ಇಟ್ಟರೆ ಜಗಳವಾಗುತ್ತದೆ ಎಂಬ ಕಲ್ಪನೆ. ಈ ಗ್ರಂಥವನ್ನು ಕಲಹದ ಕಾರಣವಾಗಿ ಕಾಣದೆ, ಬದುಕನ್ನು ಅರಿಯುವ ಜಯಗ್ರಂಥವಾಗಿ ನೋಡಬೇಕೆಂದು ಅವರು ಹೇಳುತ್ತಾರೆ. ಮಹಾಭಾರತ ಮತ್ತು ಭಾಗವತವನ್ನು ವೇದಾರ್ಥವನ್ನು ತಿಳಿಸುವ ಎರಡು ದಿವ್ಯನೇತ್ರಗಳಿಗೆ ಹೋಲಿಸುತ್ತಾರೆ. ಕಥೆಯ ಮೇಲ್ಮೈಯಲ್ಲಿ ರಾಜಕುಟುಂಬದ ಘಟನೆಗಳಿದ್ದರೂ, ಅದರೊಳಗೆ ಗುಣ, ಧರ್ಮ ಮತ್ತು ಭಗವಂತನ ಮಹಿಮೆಯ ಹಲವು ಅರ್ಥಗಳಿವೆ ಎಂಬುದು ಈ ಸಂದೇಶದ ದೃಷ್ಟಿ. ಓದುವಾಗ ಭಯಕ್ಕಿಂತ ತಿಳಿಯುವ ಮನಸ್ಸನ್ನು ಹೊಂದಬೇಕೆಂಬ ಆಹ್ವಾನ ಇದಾಗಿದೆ.",,57,25,33,,,pending,pending,,
10,FF01-S05,ಸೋದೆ ಸಂದೇಶ: ಅರ್ಥವನ್ನು ತಲುಪಿಸುವ ಕೆಲಸ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 380–434,ಸೋದೆ ಮಠದ ಶ್ರೀ ವಿಶ್ವವಲ್ಲಭತೀರ್ಥರ ಸಂದೇಶವು ಮಹಾಭಾರತದ ಅರ್ಥವನ್ನು ಓದುಗರಿಗೆ ತಲುಪಿಸುವ ಪ್ರಕಟಣೆಯ ಕಾರ್ಯವನ್ನು ಆಶೀರ್ವದಿಸುತ್ತದೆ. ದೊಡ್ಡ ಗ್ರಂಥದ ಪದಗಳನ್ನು ಓದುವ ಅವಕಾಶವಿದ್ದರೂ ಅವುಗಳ ಒಳರ್ಥವನ್ನು ತಿಳಿಯಲು ಮಾರ್ಗದರ್ಶನ ಬೇಕಾಗುತ್ತದೆ. ವಾದಿರಾಜರ ಲಕ್ಷಾಲಂಕಾರದಂತಹ ವ್ಯಾಖ್ಯಾನವು ಆ ಅರ್ಥಗ್ರಹಣಕ್ಕೆ ನೆರವಾಗುತ್ತದೆ ಎಂಬ ಪರಂಪರೆಯ ವಿಶ್ವಾಸ ಇಲ್ಲಿ ಹಿನ್ನೆಲೆಯಾಗಿದೆ. ಪುಸ್ತಕವನ್ನು ಸಿದ್ಧಪಡಿಸಿದವರ ಶ್ರಮ ಮತ್ತು ಅದನ್ನು ಅಧ್ಯಯನಮಾಡುವವರ ಪ್ರಯೋಜನ ಎರಡನ್ನೂ ಸಂದೇಶ ಸಂಪರ್ಕಿಸುತ್ತದೆ. ಇದು ಮಹಾಭಾರತದ ಒಳಗಿನ ಪಾತ್ರವೊಬ್ಬನು ಮಾತನಾಡುವ ಮಾತಲ್ಲ; ಓದುಗನಿಗೆ ಗ್ರಂಥವನ್ನು ಸ್ವಾಗತಿಸುವ ಪ್ರಕಟಣೆಯ ಆರಂಭಿಕ ಧ್ವನಿ.,,55,24,31,,,pending,pending,,
