group_id,volume,title_kn,use,text_rendering,final_card_file
I1,1,"ಕಥೆಯ ಬಾಗಿಲು, ಗ್ರಂಥದ ಪರಿಚಯ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
I2,2,ವಂಶಗಳ ನೆನಪಿನಿಂದ ಕುರುಕುಟುಂಬದವರೆಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
I3,3,"ಕಲಿತ ವಿದ್ಯೆ, ಎದುರಾಗುವ ಪರೀಕ್ಷೆ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
I4,4,"ಆದಿಪರ್ವದ ಅಂತ್ಯ, ಸಭಾಪರ್ವದ ಆರಂಭ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G01,1,ನೈಮಿಷಾರಣ್ಯದಲ್ಲಿ ತೆರೆದುಕೊಳ್ಳುವ ಮಹಾಭಾರತ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G02,1,ಸಮಂತಪಂಚಕದಿಂದ ಹದಿನೆಂಟು ಪರ್ವಗಳವರೆಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G03,1,ಸರಮೆಯ ಪ್ರಶ್ನೆ ಮತ್ತು ಜನಮೇಜಯನ ಹುಡುಕಾಟ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G04,1,ಆರುಣಿಯಿಂದ ಉದಂಕನ ಅಮೃತರಹಸ್ಯದವರೆಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G05,1,"ಪುಲೋಮೆ, ಚ್ಯವನ ಮತ್ತು ಅಗ್ನಿಯ ಸಾಕ್ಷಿಧರ್ಮ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G06,1,ರುರು–ಪ್ರಮದ್ವರೆ: ಅರ್ಧಾಯುಷ್ಯ ಮತ್ತು ಅಹಿಂಸೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G07,1,"ಕದ್ರು–ವಿನತೆ, ಕಾಲದ ಶಾಪ ಮತ್ತು ಸಮುದ್ರಮಥನ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G08,1,ವಿನತೆಯ ದಾಸ್ಯ ಮತ್ತು ಗರುಡನ ಪ್ರಯಾಣ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G09,1,ಗರುಡನ ಅಮೃತಹರಣ ಮತ್ತು ನಾಗಗಳ ರಕ್ಷಣೆಯ ಮುನ್ನೋಟ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G10,1,ಪರೀಕ್ಷಿತನ ಕೊನೆಯ ಏಳು ದಿನಗಳು ಮತ್ತು ಜರತ್ಕಾರುವಿನ ವಂಶವ್ರತ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G11,1,ಆಸ್ತೀಕ: ನಿಲ್ಲು ಎಂದು ಹೇಳಿದ ಬಾಲಮುನಿ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G12,1,"ವ್ಯಾಸರ ಜನ್ಮ, ದೇವಾಂಶಗಳು ಮತ್ತು ಪೂರುವಂಶದ ನೆಲೆ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G13,2,ಕಚ ಮತ್ತು ಮೃತಸಂಜೀವಿನಿಯ ಬೆಲೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G14,2,"ದೇವಯಾನಿ, ಶರ್ಮಿಷ್ಠೆ ಮತ್ತು ಯಯಾತಿಯ ಶಾಪ",Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G15,2,ಪೂರುವಿನ ಹೊಣೆ ಮತ್ತು ಯಯಾತಿಯ ಸ್ವರ್ಗಪತನ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G16,2,ದುಷ್ಯಂತ ಮತ್ತು ಶಕುಂತಲೆ: ಆಶ್ರಮದಿಂದ ರಾಜಸಭೆಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G17,2,ಶಕುಂತಲೆಯ ಸತ್ಯದಿಂದ ಗಂಗಾದತ್ತನ ಜನನದವರೆಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G18,2,ಭೀಷ್ಮನ ವಚನ ಮತ್ತು ಅಂಬೆಯ ಮುಚ್ಚಿದ ಬಾಗಿಲುಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G19,2,ಕುರುಮನೆಯ ಹೊಸ ತಲೆಮಾರು ಮತ್ತು ಪಾಂಡುವಿನ ಶಾಪ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G20,2,ಐದು ಪಾಂಡವರು ಮತ್ತು ಧೃತರಾಷ್ಟ್ರನ ಕುಟುಂಬ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G21,2,ಪಾಂಡುವಿನ ವಿಯೋಗ ಮತ್ತು ಭೀಮನ ಮರಳಿಕೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G22,2,ದ್ರೋಣನ ಅಪೇಕ್ಷೆ ಮತ್ತು ಏಕಲವ್ಯನ ಬೆಲೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G23,3,ಗುರಿಯ ಶಿರಸ್ಸಿನಿಂದ ಅಂಗರಾಜನ ಪಟ್ಟದವರೆಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G24,3,ಗುರುದಕ್ಷಿಣೆ ಮತ್ತು ವಾರಣಾವತದ ಸಂಚು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G25,3,ಅರಗಿನ ಮನೆಯ ಅಗ್ನಿರಾತ್ರಿ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G26,3,ಹಿಡಿಂಬೆ ಮತ್ತು ಘಟೋತ್ಕಚ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G27,3,ಏಕಚಕ್ರದ ಮನೆಯ ಅಳಲು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G28,3,ಗಂಗಾತೀರದಲ್ಲಿ ಸಿಕ್ಕ ಕಥೆಯ ದಾರಿ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G29,3,ವಸಿಷ್ಠರ ದುಃಖ ಮತ್ತು ಕೋಪದ ಮಿತಿ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G30,3,ದ್ರೌಪದಿಯ ಸ್ವಯಂವರ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G31,3,ವಿವಾಹದ ಪ್ರಶ್ನೆ ಮತ್ತು ಈ ಆವೃತ್ತಿಯ ವಿವರಣೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G32,4,ಪಾಂಡವರು ಬದುಕಿದ್ದಾರೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G33,4,ಇಂದ್ರಪ್ರಸ್ಥ ಮತ್ತು ಒಗ್ಗಟ್ಟಿನ ನಿಯಮ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G34,4,ಅರ್ಜುನನ ನಿಯಮ ಮತ್ತು ತೀರ್ಥಯಾತ್ರೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G35,4,ಸುಭದ್ರೆಯ ಆಯ್ಕೆ ಮತ್ತು ದ್ವಾರಕೆಯ ರಹಸ್ಯ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G36,4,ಹೊಸ ಸಂಬಂಧ ಮತ್ತು ಮುಂದಿನ ಪೀಳಿಗೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G37,4,ಅಗ್ನಿಯ ಬೇಡಿಕೆ ಮತ್ತು ಖಾಂಡವದ ಸಂಕಟ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G38,4,ಮಯನ ಜೀವದಾನ ಮತ್ತು ಪಕ್ಷಿಗಳ ಹಿನ್ನೆಲೆ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G39,4,ಜರಿತೆಯ ಮಕ್ಕಳ ಪ್ರಾರ್ಥನೆ ಮತ್ತು ಆದಿಪರ್ವದ ಅಂತ್ಯ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G40,4,ಮಯನ ಸಭೆ ಮತ್ತು ನಾರದನ ಪ್ರಶ್ನೆಗಳು,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G41,4,ಐದು ದೇವಸಭೆಗಳು ಮತ್ತು ಪಾಂಡುವಿನ ಸಂದೇಶ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
G42,4,ರಾಜಸೂಯದ ಸಂಕಲ್ಪ ಮತ್ತು ಜರಾಸಂಧನ ಅಡ್ಡಿ,Optional topic divider; no compulsory episode split,Typeset verified Kannada in the editor; do not ask the image model to draw the letters,
