reading_order,scene_id,keyframe_id,title_kn,source_refs,image_prompt,negative_prompt,motion_direction,sound_cue,continuity,character_reference_files,location_reference_file,generated_still_file,generator_and_version,generation_settings,native_width,native_height,upscale_history,still_review,recording_take,actual_voice_seconds,additional_shot_ids_after_read,selected_motion_clip,clip_in,clip_out,caption_file,music_source,sfx_source,master_width,master_height,master_fps,final_master_file,delivery_review
1,I1-S01,I1-S01-KF01,"ಒಂದು ಕಥೆ, ಅನೇಕ ಧ್ವನಿಗಳು",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1–147; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 435–616; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 2025–2477,"A single aged palm-leaf manuscript resting beside a clean modern clothbound Kannada book with an entirely blank unlettered cover, on a dark teak reading desk in an Indian library; a small brass oil lamp at frame-left, tall shelves dissolved into warm shadow, sunrise through a lattice window reveals floating dust, camera at page height, 50mm lens, exquisite fibre and leaf-grain detail, warm amber against cool dawn blue, quiet reverence, no people, no visible text. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow5% dolly toward the open leaves. Begin with room tone and one low tanpura note; no triumphant drums. Match lamp glow into next shot.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
2,I1-S02,I1-S02-KF01,ಈ ಆವೃತ್ತಿಯ ಹಿಂದೆ ನಿಂತವರು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 148–434; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 865–921; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1716–2024,"A respectful documentary still of anonymous adult Indian manuscript conservators seen only from shoulders down, cotton-clad forearms gently supporting palm-leaf bundles on padded cloth, modern conservation room with teak cabinets and diffused window light; different tasks visible in separate depth layers, one scholar checking a paper proof without readable writing, no identifiable real person, no implied photograph of historical contributors, 65mm lens, earthy saffron/ivory/teak palette, exceptionally fine fabric and paper detail. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Lateral slide across hands; dry page rustle. Editorial credit names appear as clean post-produced typography, never AI-generated on pages.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
3,I1-S03,I1-S03-KF01,ಒಂದು ಗ್ರಂಥದ ಹಲವು ಪಾಠಗಳು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 617–1563; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 2478–3168,"Overhead composition of three palm-leaf manuscript bundles and two printed proof sheets arranged in parallel on a deep brown study table, tiny cotton ties and a smooth stone paperweight, all inscriptions deliberately defocused and unreadable; warm oil-lamp pool contrasts with cool daylight, meticulous Indian archival atmosphere, no Western quills, no fantasy runes, 35mm lens, visual theme of comparing textual witnesses, generous negative space for an editor-added diagram. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Slow overhead drift. Add graphic arrows in post: ಹಸ್ತಪ್ರತಿ → ಪರಿಶೀಲನೆ → ಕನ್ನಡ ವಿವರಣೆ. Soft pen-on-paper sound, no sacred chant under credit speech.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
4,I1-S04,I1-S04-KF01,ಅಧ್ಯಾಯಗಳ ಸಂಖ್ಯೆಯ ಗೊಂದಲ ತಪ್ಪಿಸಿಕೊಳ್ಳೋಣ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1564–1715,"Abstract yet material editorial composition: a long unlettered parchment ribbon gently loops back alongside itself above a wooden tabletop, two matching leaf bundles indicate a deliberate repeated genealogy, a carved banyan-root motif in background, golden afternoon side light, realistic tactile objects rather than magical floating text, 50mm lens, rich forest-green and antique-gold tones, empty central spaces reserved for editor-composited chapter63 and83 labels. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Locked camera with gentle focus shift between two bundles. Show actual numerals as a post-produced chapter map.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
5,I1-S05,I1-S05-KF01,ಈ ನಾಲ್ಕು ಪುಸ್ತಕಗಳ ಪ್ರಯಾಣ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3169–3715; MAHABHARATA-2-AADIPARVA_djvu.txt lines 100–490; MAHABHARATA-3-AADIPARVA_djvu.txt lines 107–811; MAHABHARATA-4-AADIPARVA_djvu.txt lines 369–905; MAHABHARATA-4-AADIPARVA_djvu.txt lines 19387–19424; MAHABHARATA-4-AADIPARVA_djvu.txt lines 31395–31396,"Dawn aerial of an ancient Indian forest hermitage in a clearing under immense sal trees, thatched roofs in natural arrangement, a small distant circle of seated sages around a quiet sacrificial pavilion, mist layers between trunks, birds above canopy, believable scale, richly varied green foliage, honey-coloured sunlight,40mm lens, no palace, no battle, tranquil invitation into a narrated epic, foreground leaves frame the scene with restrained cinematic depth. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Wide-to-medium slow aerial descent; carry birds and low forest ambience into episode01. On-screen transition: ನೈಮಿಷಾರಣ್ಯ — ಕಥೆಯನ್ನು ಕೇಳುವ ಋಷಿಗಳ ಸಭೆ.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
6,FF01-S01,FF01-S01-KF01,"ಗ್ರಂಥ, ಅನುವಾದ ಮತ್ತು ವ್ಯಾಖ್ಯಾನ",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1–147,"Three layers of an Indian manuscript reading table: an open palm-leaf text, a blank modern clothbound book and a separate unlettered commentary folio, warm brass lamp, teak grain and cotton cloth,50mm intimate view, early dawn window light, visual distinction between epic, translation and commentary without readable letters. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
7,FF01-S02,FF01-S02-KF01,ಪೇಜಾವರ ಸಂದೇಶ: ಪ್ರಮಾಣ ಮತ್ತು ಅರ್ಥಗ್ರಹಣ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 148–218,"Anonymous Indian scholar seen from behind reading beside four neatly separated unlettered manuscript bundles in a quiet matha library, no identifiable modern religious leader,65mm lens, calm saffron and teak palette, diffuse morning light, respectful documentary illustration. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
8,FF01-S03,FF01-S03-KF01,"ಅದಮಾರು ಸಂದೇಶ: ಭಾರವಾದ ಪದ, ವಿಶಾಲವಾದ ಅರ್ಥ",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 219–271,"Several carefully tied palm-leaf bundles arriving on padded cloth in a traditional Indian library, anonymous adult hands receive them respectfully,50mm close view, warm afternoon light, natural fibres, no donation money or invented institutional seal. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
9,FF01-S04,FF01-S04-KF01,ಪಲಿಮಾರು ಸಂದೇಶ: ಮಹಾಭಾರತ ಎಂದರೆ ಜಗಳವಷ್ಟೇ ಅಲ್ಲ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 272–379,"A family of fully clothed Indian adults and one school-age child calmly listening to an elder reading in a lamp-lit courtyard, open book with no readable text,50mm eye-level composition, warm domestic dignity, no argument or supernatural curse imagery, quiet welcoming atmosphere. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
10,FF01-S05,FF01-S05-KF01,ಸೋದೆ ಸಂದೇಶ: ಅರ್ಥವನ್ನು ತಲುಪಿಸುವ ಕೆಲಸ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 380–434,"Open lattice window casting a clear band of light onto an unlettered commentary folio beside a darker closed manuscript,65mm lens, tactile palm leaf and cotton, restrained gold and deep green, visual metaphor for understanding, no literal divine beam or modern portrait. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
11,FF01-S06,FF01-S06-KF01,ಮಹಾಭಾರತದ ಹಿರಿಮೆ: ಭಕ್ತಿಪರ ಪ್ರಮಾಣಗಳು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 435–616,"A quiet ancient-style storytelling pavilion surrounded by listeners of different ages, a distant sage reciting beside a low safe lamp,28mm wide frame, banyan roots and warm sunset, no identifiable epic incident, inclusive attentive audience, natural cloth textures. 16:9composition for3840x2160delivery, cinematic naturalism, high-detail Indian wood/stone/cloth textures, anatomically coherent hands, clean depth separation, restrained rich colour, no generated text, no watermark, no pseudo-Sanskrit. Illustrative documentary image, not an authentic historical photograph.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow restrained push or a locked frame; let the explanation determine cut points. Do not animate manuscript letters.,"Warm clear Kannada documentary narration, low natural room or environmental ambience, music kept below every name and key distinction.","Book-paratext explanation, not an event inside the Mahabharata story. Preserve attribution to this edition; add any verified labels in post.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
