chapter_id,volume,chapter,source_file,line_start,line_end,source_heading,linked_scene_ids,status,boundary_status,remaining_review,notes
Adi132,3,132,MAHABHARATA-3-AADIPARVA_djvu.txt,812,1279,"(ದ್ರೋಣರಿಂದ ಅರ್ಜುನನ ಪರೀಕ್ಷೆ, . ಅರ್ಜುನನ ಅತಿಶಯ. ಅರ್ಜುನನಿಂದ ಲಕ್ಷ $ವೇಧ. ಬ್ರಹ್ಮಶಿರಸ್‌ ಅಸ್ಪದ ಪ್ರಾಪ್ತಿ.)",G23-S01 | G23-S02,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi133,3,133,MAHABHARATA-3-AADIPARVA_djvu.txt,1280,1742,"(ಕುಮಾರರಿಂದ ಅಸ್ಪಕೌಶಲ ಪ್ರದರ್ಶನ, ಯುಧಿಷ್ಠಿರ ಪರೀಕ್ಷೆ, ಭೀಮ ದುರ್ಯೋಧನರ ರಂಗ ಪ್ರವೇಶ)",G23-S03,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi134,3,134,MAHABHARATA-3-AADIPARVA_djvu.txt,1743,2131,"(ಭೀಮದುರ್ಯೋಧನರ ಸಲುವಾಗಿ ಪ್ರೇಕ್ಷಕದೆ ಶೈಧೀಭಾವ, ಅಶಶ್ನಾಮರಿಂದ  ಸಮಾಧಾನ, ಅರ್ಜುನನ ರಂಗಪ್ರವೇಶ ಮತ್ತು ಕೌಶಲ ಪ್ರದರ್ಶನ)",G23-S04,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi135,3,135,MAHABHARATA-3-AADIPARVA_djvu.txt,2132,2600,"(ಕರ್ಣನ ರಂಗಪ್ರವೇಶ, ಅರ್ಜುನನನ್ನು ಮೀರಿಸಿ ಕೌಶಲ ಪ್ರದರ್ಶನ,   ಕರ್ಣಾರ್ಜುನರ ವಿರೋಧ, ದುರ್ಯೋಧನನಿಂದ ಅಂಗರಾಜ್ಯದಲ್ಲಿ ಕರ್ಣನ ಅಭಿಷೇಕ)",G23-S05 | G23-S06,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi136,3,136,MAHABHARATA-3-AADIPARVA_djvu.txt,2601,3177,"(ಕರ್ಣನ ತಂದೆಯಾದ ಅಧಿರಥನ ರಂಗಪ್ರವೇಶ, ಅವನಿಗೆ ಕರ್ಣನ ನಮಸ್ಕಾರ, ಭೀಮಸೇನನ ಮೂದಲಿಕೆಯ ಮಾತುಗಳು, ರಂಗದಿಂದ ಎಲ್ಲರ ನಿರ್ಗಮನ.)",G23-S07 | G23-S08,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi137,3,137,MAHABHARATA-3-AADIPARVA_djvu.txt,3178,4650,"(ದ್ರೋಣರಿಗೆ ಗುರುದಕ್ಷಿಣದಾನ ಪ್ರಸಂಗ, ದುರ್ಯೋಧನಾದಿಗಳ ಪರಾಜಯ, ಭೀಮಾರ್ಜುನರ ಜಯ, ದ್ರೋಣದ್ರುಪದ ಸಂವಾದ, ದ್ರೋಣರಿಂದ ದ್ರುಪದನ ಅರ್ಧರಾಜ್ಯ ಸ್ವೀಕಾರ.)",G24-S01 | G24-S02 | G24-S03,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi138,3,138,MAHABHARATA-3-AADIPARVA_djvu.txt,4651,5384,"(ದ್ರುಪದನಿಂದ ಯಾಜಾನುಯಾಜರ ವರಣ, ಧೃಷ್ಟದ್ಯುಮ್ನ ಮತ್ತು ದ್ರೌಪದಿಯರ ಉತ್ಪತ್ತಿ)",G24-S04,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi139,3,139,MAHABHARATA-3-AADIPARVA_djvu.txt,5385,5682,(ತಪಸ್ಸು ಮಾಡುತ್ತಿದ್ದ ಪಾಂಚಾಲರಾಜನಾದ ಪೃಷತನಿಗೆ ಮೇನಕೆಯ ದರ್ಶನದಿಂದ ದ್ರುಪದನ ಉತ್ಪತ್ತಿ.),G24-S04 | A101-S01 | A101-S02 | A101-S03,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi140,3,140,MAHABHARATA-3-AADIPARVA_djvu.txt,5683,6194,"(ಯುಧಿಷ್ಠಿರನಿಗೆ ಯೌವರಾಜ್ಯಾಭಿಷೇಕ, ಬಲರಾಮನಲ್ಲಿ ಭೀಮಸೇನನ ಗದಾಭ್ಯಾಸ, ದ್ರೋಣರಿಂದ ಅರ್ಜುನನಿಗೆ ಬ್ರಹ್ಮಶಿರ ಅಸ್ಪಪ್ರಾಪ್ತಿ. ಭೀಮಾರ್ಜುನ ವಿಜಯ, ದುರ್ಯೋಧನನ ಅಸೂಯೆ, ಧೃತರಾಷ್ಟ್ರನ ಬುದ್ಧಿಭೇದ)",G24-S05,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
Adi141,3,141,MAHABHARATA-3-AADIPARVA_djvu.txt,6195,6567,"(ಯುಧಿಷ್ಠಿರನ ಅಭಿಷೇಕವನ್ನು ನೋಡಿ ದುರ್ಯೋಧನನ ಅಸೂಯೆ, ಧೃತರಾಷ್ಟ್ರನ ಜೊತೆಯಲ್ಲಿಸಂವಾದ, ಧೃತರಾಷ್ಟ್ರನ ಚಂಚಲಮನಸ್ಥಿತಿಃ)",G24-S06,source-linked narrative draft; passage completeness NOT certified,heading_observed_not_scan_verified,"Compare every verse, explanation, named entry and commentary point with source. A citation range overlap is not proof that all content is spoken.",
