id,group_id,title,image_prompt,negative_prompt,motion,sound,continuity,postproduction_labels_kn,editorial_notes_kn,source,spoken_words,voice_estimate_min_seconds,voice_estimate_max_seconds,actual_voice_duration_seconds,image_status,clip_status,approved_reference_ids,review_status
I1-S01,I1,"ಒಂದು ಕಥೆ, ಅನೇಕ ಧ್ವನಿಗಳು","A single aged palm-leaf manuscript resting beside a clean modern clothbound Kannada book with an entirely blank unlettered cover, on a dark teak reading desk in an Indian library; a small brass oil lamp at frame-left, tall shelves dissolved into warm shadow, sunrise through a lattice window reveals floating dust, camera at page height, 50mm lens, exquisite fibre and leaf-grain detail, warm amber against cool dawn blue, quiet reverence, no people, no visible text. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow5% dolly toward the open leaves. Begin with room tone and one low tanpura note; no triumphant drums. Match lamp glow into next shot.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1–147; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 435–616; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 2025–2477,90,40,51,,not_generated,not_generated,,editorial_draft
I1-S02,I1,ಈ ಆವೃತ್ತಿಯ ಹಿಂದೆ ನಿಂತವರು,"A respectful documentary still of anonymous adult Indian manuscript conservators seen only from shoulders down, cotton-clad forearms gently supporting palm-leaf bundles on padded cloth, modern conservation room with teak cabinets and diffused window light; different tasks visible in separate depth layers, one scholar checking a paper proof without readable writing, no identifiable real person, no implied photograph of historical contributors, 65mm lens, earthy saffron/ivory/teak palette, exceptionally fine fabric and paper detail. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Lateral slide across hands; dry page rustle. Editorial credit names appear as clean post-produced typography, never AI-generated on pages.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 148–434; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 865–921; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1716–2024,88,39,50,,not_generated,not_generated,,editorial_draft
I1-S03,I1,ಒಂದು ಗ್ರಂಥದ ಹಲವು ಪಾಠಗಳು,"Overhead composition of three palm-leaf manuscript bundles and two printed proof sheets arranged in parallel on a deep brown study table, tiny cotton ties and a smooth stone paperweight, all inscriptions deliberately defocused and unreadable; warm oil-lamp pool contrasts with cool daylight, meticulous Indian archival atmosphere, no Western quills, no fantasy runes, 35mm lens, visual theme of comparing textual witnesses, generous negative space for an editor-added diagram. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Slow overhead drift. Add graphic arrows in post: ಹಸ್ತಪ್ರತಿ → ಪರಿಶೀಲನೆ → ಕನ್ನಡ ವಿವರಣೆ. Soft pen-on-paper sound, no sacred chant under credit speech.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 617–1563; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 2478–3168,95,42,54,,not_generated,not_generated,,editorial_draft
I1-S04,I1,ಅಧ್ಯಾಯಗಳ ಸಂಖ್ಯೆಯ ಗೊಂದಲ ತಪ್ಪಿಸಿಕೊಳ್ಳೋಣ,"Abstract yet material editorial composition: a long unlettered parchment ribbon gently loops back alongside itself above a wooden tabletop, two matching leaf bundles indicate a deliberate repeated genealogy, a carved banyan-root motif in background, golden afternoon side light, realistic tactile objects rather than magical floating text, 50mm lens, rich forest-green and antique-gold tones, empty central spaces reserved for editor-composited chapter63 and83 labels. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Locked camera with gentle focus shift between two bundles. Show actual numerals as a post-produced chapter map.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1564–1715,92,41,53,,not_generated,not_generated,,editorial_draft
I1-S05,I1,ಈ ನಾಲ್ಕು ಪುಸ್ತಕಗಳ ಪ್ರಯಾಣ,"Dawn aerial of an ancient Indian forest hermitage in a clearing under immense sal trees, thatched roofs in natural arrangement, a small distant circle of seated sages around a quiet sacrificial pavilion, mist layers between trunks, birds above canopy, believable scale, richly varied green foliage, honey-coloured sunlight,40mm lens, no palace, no battle, tranquil invitation into a narrated epic, foreground leaves frame the scene with restrained cinematic depth. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Wide-to-medium slow aerial descent; carry birds and low forest ambience into episode01. On-screen transition: ನೈಮಿಷಾರಣ್ಯ — ಕಥೆಯನ್ನು ಕೇಳುವ ಋಷಿಗಳ ಸಭೆ.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 3169–3715; MAHABHARATA-2-AADIPARVA_djvu.txt lines 100–490; MAHABHARATA-3-AADIPARVA_djvu.txt lines 107–811; MAHABHARATA-4-AADIPARVA_djvu.txt lines 369–905; MAHABHARATA-4-AADIPARVA_djvu.txt lines 19387–19424; MAHABHARATA-4-AADIPARVA_djvu.txt lines 31395–31396,105,47,60,,not_generated,not_generated,,editorial_draft
I2-S01,I2,ಹಿಂದಿನ ಕಥೆಯನ್ನು ಎಲ್ಲಿ ಬಿಟ್ಟಿದ್ದೇವೆ?,"Transition from a shadowed forest storytelling circle to an editorial family-tree surface made of carved wooden branches, blank name plaques prepared for post-production; a single oil lamp lights one branch at a time, realistic tactile wood, restrained gold and indigo, no readable letters, visual clarity over ornament,50mm lens. Do not invent historical portraiture. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Match cut lamp to lamp; narrator gently emphasises the three names: ಉಗ್ರಶ್ರವಸ್ಸು, ಜನಮೇಜಯ, ವೈಶಂಪಾಯನ.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-2-AADIPARVA_djvu.txt lines 1–490,70,31,40,,not_generated,not_generated,,editorial_draft
I2-S02,I2,"ಆಸೆ, ವಾಗ್ದಾನ ಮತ್ತು ವಾರಸುದಾರರು","Elegant ancient Indian riverbank at first light, a young banyan tree and an older massive banyan reflected in calm water, two distant royal figures separated by a stone path, no recognisable faces required for this symbolic introduction; lush reeds, river mist, muted copper textiles, grand yet intimate35mm composition, organic greens and dawn peach, no weapons in foreground. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Gentle push past young tree toward older roots. Add genealogy names only after editorial verification.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-2-AADIPARVA_djvu.txt lines 100–490; MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 1620–1634,84,37,48,,not_generated,not_generated,,editorial_draft
I2-S03,I2,ಒಂದು ಮನೆಯೊಳಗೆ ಮೂಡುವ ಮಹಾಕಥೆ,"Expansive ancient Kuru palace training courtyard before lessons begin, wooden practice bows arranged neatly, sand showing small footprints, pillars of warm sandstone, mature neem trees beyond colonnade, children absent in this establishing frame, early morning light,28mm balanced symmetrical composition softened by leaves, rich ochre and deep green, authentic simple practical equipment, no medieval European armour or modern targets. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Pan from footprints to practice bows. End with the sound of one bowstring, then begin Volume2 story.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-2-AADIPARVA_djvu.txt lines 100–490,91,40,52,,not_generated,not_generated,,editorial_draft
I3-S01,I3,ಶಿಕ್ಷಣದ ಕೊನೆಯಿಂದ ಹೊಸ ಆರಂಭ,"Quiet ancient Indian archery grove, a weathered wooden target bird tied high among dense branches, bow and quiver resting at bottom-right against a tree, morning sun picking out the small target through leaves,35mm lens with deep readable spatial geography, warm bark textures and emerald canopy, no floating arrows, no spectacular magical light. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Rack focus from bow to distant target. A single held breath, forest insects; no battle drums.",Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-3-AADIPARVA_djvu.txt lines 1–106; MAHABHARATA-3-AADIPARVA_djvu.txt lines 668–811,70,31,40,,not_generated,not_generated,,editorial_draft
I3-S02,I3,ಕೀರ್ತಿಯ ಜೊತೆಗೆ ನೆರಳು,"Dusk forest path leading away from a distant palace silhouette, five adult male silhouettes and one older woman walking as a compact family group, rear view only to avoid premature face mismatch, simple travel cloth and carefully distinct heights, damp leaves reflecting fading gold,35mm lens, calm urgency, dense layered woodland, faint smoke far behind without a visible burning victim, no extra people. Delivery target3840x2160,16:9. Cinematic naturalism, coherent anatomy, no generated text, no watermarks.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow tracking from behind. Maintain exactly six travellers; no changes in count through the shot. Wind replaces courtyard ambience.,Room tone and one low tanpura note under clear Kannada narration; follow the detailed audio cue in the motion direction. No triumphant drums.,"Documentary framing; all illustration choices are visual interpretation, no historical-photo claim.",,,MAHABHARATA-3-AADIPARVA_djvu.txt lines 107–667,76,34,43,,not_generated,not_generated,,editorial_draft
