id,type,label,prompt,negative,continuity
FR_UGRASHRAVAS,character,Ugrashravas Sauti,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Middle-aged South Asian storyteller, oval face, thoughtful eyes, lightly greying beard, loosely gathered dark hair, rust-ochre wrap and cream lower garment. Seated upright on a woven mat beside a great fig root, he clarifies a point with one open hand. Humid morning canopy light falls gently on his face; a crescent of listening sages remains soft behind him. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Outer frame: speaker to Shaunaka at Naimisha; oval face, greying beard, rust wrap."
FR_SHAUNAKA,character,Shaunaka,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Elderly South Asian sage, broad brow, long silver beard, tightly gathered silver hair, faded sand-coloured robe. He listens before asking a question, hands relaxed on his knees. Fig roots cross the shaded ground around reed mats; small seedlings grow only where feet have not worn a path. Indirect green daylight and a warm patch of sun separate his face from the grove. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Outer frame listener; long silver beard and sand robe; never replace Janamejaya.
FR_VAISHAMPAYANA,character,Vaishampayana,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Mature South Asian teacher, long narrow face, dark beard with grey strands, dark hair tied behind the head, undyed cotton with a muted brown border. He addresses the royal assembly from a modest mat. Unpainted timber posts, orderly vessels and distant controlled firelight establish the ritual setting; open daylight is the principal facial light. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Inner-frame narrator to Janamejaya; narrow face and brown border distinguish him from Ugrashravas.
FR_JANAMEJAYA,character,Janamejaya,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian king, straight nose, close dark beard, watchful brown eyes, maroon court garment with narrow bronze-gold trim and a low diadem. He leans forward to hear a speaker beyond frame. Cream canopy cloth, timber posts and the orderly edge of a sacrificial enclosure appear behind him; smoke stays far from the main face. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Inner-frame royal listener; maroon and low diadem; attentive to Vaishampayana.
CH_VYASA,character,Vyasa,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Mature South Asian sage, deep-set thoughtful eyes, strong nose, thick dark-grey hair gathered high, rough earth-brown cloth. He concentrates beside a shaded stream, with dry manuscript bundles on a wooden support. Ferns emerge from damp stone joints; a small reflected patch of sky lights his hands. His presence is thoughtful without an automatic supernatural halo. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Strong nose, gathered dark-grey hair; manuscript material is an artistic convention; source-check role."
CH_SHANTANU,character,Shantanu,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Mature South Asian king, squared jaw, dark neck-length hair, neat short beard, indigo garment and light travelling cloak. He pauses on a broad riverbank looking toward someone beyond frame. Reeds and the cloak move in the same river breeze; fresh footprints cross pale silt. A restrained signet and low diadem suggest rank under copper evening light. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Squared jaw and indigo; travel costume separate from formal court.
CH_GANGA,character,Ganga,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian woman, elongated oval face, calm direct eyes, long dark hair, layered off-white and pale river-blue cloth. She stands on a shallow sandbar as silver-grey water moves around it. Reed shadows and cool dawn haze create presence; a small warm edge lights her hair. The image is humanly readable, without a fountain from her body or fantasy armour. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Adult reference; pale river-blue; explicit divine manifestations need separate scene design.
CH_BHISHMA,character,Young Devavrata / Bhishma,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Young adult South Asian warrior, long face, pronounced cheekbones, steady eyes, black hair bound for travel, ivory cloth with muted steel-blue edging and practical leather protection. One bow rests vertically beside his open hand. A river terrace and distant reeds establish horizontal calm; clear side light reveals resolve, natural skin and woven texture. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.",Young adult only; create linked mature/elderly variants; no sudden white hair.
CH_SATYAVATI,character,Satyavati,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian woman, broad expressive face, thick dark eyebrows, long dark braid, terracotta working garment and faded blue shawl. She steadies a weathered river boat with one hand on its gunwale. Damp wood, reed baskets and a low settlement create a working river world. Evening light warms her cheek while water provides cool fill. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Fisher-household stage; queen variant preserves broad face and braid, changes costume."
CH_AMBA,character,Amba,"Original cinematic concept image for a South Asian epic series, 16:9 composition intended for UHD delivery; realistic anatomy, textured materials, restrained filmic colour and motivated light. Adult South Asian princess, angular face, long black hair, direct confrontational gaze, plum cloth with restrained silver-toned trim. She stands within a palace passage looking toward its visible exit, gripping one fold of her shawl. Warm sunlight lies across the ground before her; reflected shade keeps her emotion legible without glamorizing distress. Text-free image, purposeful environmental detail, clean subject separation, detailed yet natural surfaces; actual generated pixel dimensions must be checked rather than assumed to be native 4K.","No captions, logos, watermark, modern objects, fantasy plate armour, gratuitous gold, plastic skin, beauty-filter face, neon aura, extra limbs, fused fingers, duplicated subjects, deformed anatomy, inconsistent costume, impossible reflections, random architecture, sexualized framing or gore. No caste or morality encoded through complexion.","Angular face, plum; identity and fate distinct from Ambika/Ambalika."
